,0
1936,-0.19
1937,1.02
1938,0.06
1939,-0.17
1940,0.97
1941,-0.02
1942,-0.12
1943,1.01
1944,-0.01
1945,-0.2
1946,1.01
1947,0.06
1948,-0.15
1949,0.97
1950,-0.03
1951,-0.14
1952,1.02
1953,0.02
1954,-0.2
1955,1.0
1956,0.04
1957,-0.13
1958,0.98
1959,-0.04
1960,-0.17
1961,1.03
1962,0.04
1963,-0.19
1964,0.98
1965,0.01
1966,-0.11
1967,1.0
1968,-0.03
1969,-0.19
1970,1.02
1971,0.06
1972,-0.17
1973,0.97
1974,-0.02
1975,-0.12
1976,1.01
1977,-0.01
1978,-0.2
1979,1.01
1980,0.06
1981,-0.14
1982,0.97
1983,-0.04
1984,-0.14
1985,1.02
1986,0.02
1987,-0.2
1988,0.99
1989,0.04
1990,-0.12
1991,0.98
1992,-0.04
1993,-0.17
1994,1.02
1995,0.04
1996,-0.19
1997,0.98
1998,0.01
1999,-0.11
2000,1.0
2001,-0.03
2002,-0.19
2003,1.02
2004,0.06
2005,-0.17
